epcho,train_loss_list_cnn_ReLu_mult1000,valid_loss_list_cnn_ReLu_mult1000,train_loss_list_cnn_tanh_mult1000,valid_loss_list_cnn_tanh_mult1000,train_loss_list_dnn_ReLu_mult1000,valid_loss_list_dnn_ReLu_mult1000,train_loss_list_dnn_Tanh_mult1000,valid_loss_list_dnn_Tanh_mult1000
181,16.388889019107147,16.3888888313405,10.595215045125974,10.704383479371186,13.381810956484369,14.06226202004379,13.605105904712072,13.663452283869828
182,16.38888967253508,16.388889402151108,10.596073059845835,10.583117318850372,13.384175212723353,14.132008301995455,13.590010788081395,13.65335294676404
183,16.388889920387054,16.388889402151108,10.580289906131165,10.589552111923695,13.37441667208388,14.172333217556439,13.573163399292577,13.66573307783373
184,16.3888908592203,16.388891204710927,10.577537592560533,10.587333100697688,13.37443676687056,14.090653809328233,13.567172847087345,13.624703436489067
185,16.388889199363128,16.388889402151108,10.577535823798708,10.705995358406536,13.364995165067095,14.085289466405106,13.553487827941295,13.62363210008029
186,16.38888912425647,16.38888753950596,10.590768077470843,10.60213842579434,13.358892850397575,14.046306331311502,13.54105123919585,13.600927011500444
187,16.388890904284292,16.38888753950596,10.561846474546098,10.60921201602586,13.361453825998451,14.112189532287658,13.532605134851991,13.584599830210209
188,16.388888981553816,16.38888753950596,10.56871494473589,10.635553408534296,13.397654109153777,14.051286924269892,13.51572127051411,13.593947004166342
189,16.388889957940386,16.388889402151108,10.585704747016631,10.530246662036065,13.372232423975102,14.089428954907962,13.51050815109404,13.560119535653822
190,16.38889091179496,16.388889402151108,10.557407043844222,10.688520817747039,13.366965546963675,14.123529075614869,13.504121291090645,13.576411146430237
191,16.388888951511152,16.3888888313405,10.54958494815735,10.540211182688513,13.342888312294118,14.07644287833283,13.496085085094936,13.56837272103275
192,16.38889025836702,16.388915479183197,10.576188256363235,10.533242276118647,13.355705259938635,14.104398327969735,13.480175294042114,13.58477397251033
193,16.388889852791063,16.388889402151108,10.552303505039985,10.524446715510662,13.358516370757453,14.093551694625807,13.474935286438031,13.533542158022042
194,16.388888868893826,16.388889402151108,10.548416649051491,10.598342835662825,13.352777681223328,14.068225038147743,13.472103667745909,13.512891942575093
195,16.388889777684405,16.38888753950596,10.537688684229169,10.565210013620316,13.371787634828397,14.085231919682796,13.460536866689162,13.505313740742782
196,16.388891092050944,16.388889402151108,10.545689597605698,10.512545779948272,13.361740992554733,14.074246549317914,13.449928449136355,13.506369755393075
197,16.388889221895123,16.388889402151108,10.551966095884,10.509521910740483,13.343490085624639,14.146928029555466,13.439826881362787,13.49466825805364
198,16.388891197200262,16.388893127441406,10.54087145659592,10.532089433963261,13.338915744586098,14.05299279177862,13.429992933637433,13.503773062820397
199,16.388889327044446,16.388889402151108,10.519877812194249,10.565112810581923,13.34529607406547,14.090929030170363,13.41633073189446,13.490667867083703
200,16.38888931953378,16.388889372108444,10.534298771451558,10.49443113527471,13.329904755547403,14.159265725362685,13.413954421036665,13.461477363542203
201,16.38889092681629,16.38888943219377,10.52424818232295,10.588841708076576,13.338325665362419,14.149819470701678,13.401984000548481,13.448419725342143
202,16.3888891618098,16.388889402151108,10.51001846715207,10.511767119169235,13.334784619209746,14.082458335906267,13.39497045058036,13.45455608961563
203,16.38889010064304,16.388889402151108,10.504877915786158,10.617231980206506,13.341993773205868,14.037404900356647,13.386014510967557,13.446216997239858
