epcho,tll_cnn_relu_mult1000,vll_cnn_relu_mult1000,tll_cnn_tanh_mult1000,vll_cnn_tanh_mult1000,tll_dnn_relu_mult1000,vll_dnn_relu_mult1000,tll_dnn_tanh_mult1000,vll_dnn_tanh_mult1000
139,9.944852338277645,10.180911454822748,9.939141211009796,10.465443344606507,11.018896250114325,11.054455152442378,12.57569021019604,11.837618560680458
140,9.97300663091723,10.19239014074687,9.91559406036451,10.0326657655739,10.9747018131818,11.055140065089349,12.570905859672253,11.82148075332084
141,9.929957104876877,10.20990289567459,9.89933174494053,10.261465780316822,11.00670561690124,11.109437688343947,12.572525418363512,11.826230738792688
142,9.958624381632093,10.221744737317485,9.921331578234753,10.13986339732524,10.995732139675848,11.043713968848028,12.569641176190588,11.785873917922858
143,9.936639329328413,10.208917376134664,9.910524909144206,10.235852621976406,10.957765453044445,11.077601537709274,12.554662309647087,11.777927423076283
144,9.940502368995258,10.372434607556752,9.90520076706044,10.06872728166561,10.953371172710773,11.048857678448963,12.583554654772724,11.790253702671297
145,9.94614717520533,10.145741920437544,9.907951270560584,10.12205706548787,11.02365396406141,11.04022419801162,12.563357448896332,11.770265958001536
146,9.92294898512022,10.32470393505308,9.910681450198735,10.055187263435895,11.045726207685806,11.107221471085664,12.548900705071228,11.785097705620911
147,9.9417170464632,10.137510245605823,9.90139290825614,10.241862761998368,11.033216949492212,11.051404334965252,12.547751652046799,11.794612833088445
148,9.917348897415064,10.219425834234684,9.891653159302809,10.044854945473134,10.967288778403836,11.080665724171746,12.555350504455067,11.815844253907281
149,9.926483617164195,10.157165252753803,9.919860820856787,10.099035387317981,10.949484575840255,11.113612537061977,12.53307302061829,11.752845749499338
150,9.945816067498058,10.475552280343349,9.864785746040365,10.007404256612062,11.001722380188443,11.08116076718415,12.51248075371428,11.741406043931361
151,9.936840802941832,10.1807716362659,9.896925481547031,10.082092541720598,10.935592896965963,11.053439815558733,12.510945134225391,11.737763941768677
152,9.942958950095118,10.184907594755773,9.892453462065708,10.145868730521011,10.947504775568603,11.077214753435504,12.508611641674033,11.785061248848516
153,9.920491025813163,10.203904457270138,9.889662735194207,10.189735075278628,10.896714821067308,11.054900219483722,12.530164503973097,11.756303284557598
154,9.938857581977162,10.162707838800646,9.887060533548075,10.24340492703261,10.919290369436625,11.10752119172004,12.501088001074331,11.754680394886
155,9.91057450582664,10.114733264931747,9.886650928115893,10.184292185811264,10.925881692298477,11.215783039768857,12.491487995571187,11.740122155676927
156,9.909969454090442,10.151505199891904,9.8924353238075,9.990578998000391,10.97964649013574,11.038255216854235,12.531118598886795,11.726975906640291
157,9.919265093612335,10.386697497339018,9.886560180494863,10.510065427590762,10.957435986417677,11.037084048673991,12.473468604918208,11.746377248557346
158,9.907018949067401,10.207965594506073,9.861145765640803,10.079817080329503,10.936606296097798,11.037735433708276,12.50544433376842,11.69251722674216
159,9.900169969055682,10.199118600857833,9.870126591845146,10.161966025348633,10.924975616827368,11.00806230979581,12.514696888355237,11.731675946183742
160,9.904408478178084,10.257897523021507,9.85636418279741,10.114818375798004,10.914990359226303,11.021757273063544,12.497146163255938,11.738700236404133
161,9.912503196016674,10.171175558841037,9.866903960374334,10.39038622571576,10.903438316628097,10.985346976667643,12.500736137641775,11.725949018352454
162,9.918637025440413,10.108532834677927,9.872576064099707,10.193050343302948,10.856111530184506,10.992934972408317,12.467738308553253,11.761440775327145
163,9.929470188405004,10.125987787520694,9.865162210659154,10.092581141619913,10.903872500714515,11.036397859213812,12.52980551291858,11.708098358564799
164,9.902658068665092,10.195988455727216,9.854796425169033,10.02643802653878,10.939426400939064,11.04171314246712,12.479869919198176,11.675335541968384
165,9.900305589150276,10.084574005656664,9.847911822068836,10.253864956358749,10.895530689477681,11.04486936462983,12.474511727510441,11.676704180577108
