epcho,tll_cnn_relu_mult1000,vll_cnn_relu_mult1000,tll_cnn_relu_noba_mult1000,vll_cnn_relu_noba_mult1000,tll_cnn_tanh_mult1000,vll_cnn_tanh_mult1000,tll_cnn_tanh_noba_mult1000,vll_cnn_tanh_noba_mult1000,tll_dnn_relu_mult1000,vll_dnn_relu_mult1000,tll_dnn_relu_noba_mult1000,vll_dnn_relu_noba_mult1000,tll_dnn_tanh_mult1000,vll_dnn_tanh_mult1000,tll_dnn_tanh_noba_mult1000,vll_dnn_tanh_noba_mult1000
30,10.76425948075109,10.959754412573192,9.798724609877794,10.047122911219635,10.652385922449252,10.843925688776277,9.50193294744578,9.770351326874188,12.77157648902146,12.537756078546085,10.17292844311845,10.943888956981322,14.466799641658941,14.301136526609621,12.133997887553226,11.326788083439874
31,10.713853557864505,11.167051390774787,9.7946391305736,10.16798442710311,10.601268517934987,10.671258047823944,9.522609594803784,9.710994684287616,12.681584531110861,12.463580952176162,10.137023903699893,10.99489393433736,14.400728565130022,14.275807466718458,12.123105871010452,11.319453632759473
32,10.692120045273295,11.582468020459336,9.801387512725928,10.052034541243506,10.584346225274908,10.927816717735222,9.5312355702082,9.754425260208308,12.640567778068926,12.291627725766551,10.07873575849038,10.973446717065189,14.337203281390812,14.144757402039344,12.110693177448647,11.339050312075884
33,10.617357273135454,11.050262308168795,9.78255158876099,10.125508291586753,10.559427972522474,10.664554463038522,9.503293880111269,9.836400123012641,12.551641027863708,12.35080283555773,10.103806391388417,10.967318329118912,14.271180656167768,14.048756535855992,12.068236922664989,11.319909695415728
34,10.572000853567115,11.24155973534911,9.797232785081912,10.1311229950478,10.530799037716802,10.861476342524252,9.520391430405358,9.76165538773902,12.557256981850632,12.362882750289094,10.174772788530154,10.99237674967416,14.200574947491049,13.987091384948261,12.126954490198724,11.322394839578097
35,10.567716938713867,10.815027860864516,9.794511006123598,10.06198001484717,10.505831672719891,10.68483252498892,9.520718272054387,9.73772298124048,12.4973124719315,12.158837139366133,10.08101108468949,10.949002398598578,14.123199988276728,13.870463721574314,12.123372548470092,11.346461161250067
36,10.56146027610427,10.674048155065506,9.801722315680836,10.014827663619672,10.466466883137342,10.726989772651464,9.526342852041125,9.831165143799398,12.45434560828031,12.215386685584821,10.217638089201383,11.078659339898055,14.067970306402254,13.871658338053573,12.106526845825774,11.292641471710898
37,10.519375780507202,10.856670718039236,9.785331671141208,10.070783431611716,10.45336336227915,10.591924250606567,9.50878835658753,9.728685021400452,12.40386784587416,12.288874886449307,10.198139867204572,10.95508304875224,13.990754280389556,13.725720946827241,12.13798550663576,11.308017892823104
38,10.496827315599207,10.628206324913808,9.80801918664046,10.080341039405715,10.424869833514094,10.73651727769644,9.514794883979183,9.759668501154069,12.415130709057612,12.284130473891574,10.111415195429036,10.962453385394427,13.94395311663468,13.692884600811427,12.099120168826513,11.322460948459565
39,10.488843458944993,11.554705309531382,9.805869814308902,10.037830505039423,10.412667618854153,10.622018332322758,9.52245846330639,9.822572972024641,12.370122348769538,12.101964514342047,10.101117524168185,10.931878591016416,13.888192242912709,13.637494956774095,12.143127210888892,11.29455947046799
